id;androidversion;androidlanguage;deviceinfo;appversion;day;month;year;hour;minute;playername;playerpoints;playercombos;computeralgorithm;computerpoints;computercombos;playerstarted
30405;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;0;HCLBB19A29202826;270;Tsukimi I-Pai;ShikoGreedyPlayer;200;;0
30406;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;1;HCLBB19A29202826;1130;Matsu-Kiri-Bozu,Fam-Matsu,Fam-Sakura,Shiko;ShikoGreedyPlayer;80;;0
30407;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;3;HCLBB19A29202826;120;;ShikoGreedyPlayer;240;Hanami I-Pai;1
30408;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;5;HCLBB19A29202826;60;;ShikoGreedyPlayer;1150;Matsu-Kiri-Bozu,Fam-Susuki,Fam-Kiri,Shiko;0
30409;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;6;HCLBB19A29202826;440;Aotan,Acata,Fam-Susuki;ShikoGreedyPlayer;470;Cosan,Fam-Uma,Fam-Kiri;0
30410;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;11;HCLBB19A29202826;590;Ino-Shika-Cho,Fam-Fuji,Fam-Momiji;ShikoGreedyPlayer;320;Hanami I-Pai;0
30411;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;18;HCLBB19A29202826;290;Fam-Uma,Fam-Momiji;ShikoGreedyPlayer;70;;1
30412;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;29;8;2020;9;26;5200f387b8f5845f;550;Tepo,Hanami I-Pai,Tsukimi I-Pai;RandomPlayer;200;;1
30413;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;29;8;2020;9;43;5200f387b8f5845f;420;Nizoro;RandomPlayer;160;Fam-Kiri;1
30414;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;29;8;2020;14;57;HCLBB19A29202826;290;;ShikoGreedyPlayer;120;;1
40572;30 (11);por;SM-G973F (beyond1ltexx);2.15.0;12;1;2022;17;52;unknown;240;Fam-Fuji;ShikoNanatanGreedyPlayer;200;Fam-Matsu;0
30416;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;13;33;a4efa3c5;250;Fam-Momiji;RandomPlayer;210;;0
30417;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;14;17;a4efa3c5;180;;RandomPlayer;410;Tsukimi I-Pai,Fam-Matsu;0
30418;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;9;28;6ec6d87d;260;Hanami I-Pai;RandomPlayer;330;Fam-Susuki,Fam-Momiji;0
30419;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;9;30;6ec6d87d;360;Fam-Uma,Fam-Susuki,Fam-Kiri;RandomPlayer;960;Aotan,Fam-Fuji,Nanata;1
30420;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;17;19;a4efa3c5;330;Tsukimi I-Pai;RandomPlayer;120;;0
30421;28 (9);eng;U304AC (U304AC);2.15.0;29;8;2020;15;50;ZLZPC669YLTG6DLN;450;Cosan,Fam-Matsu;ShikoGreedyPlayer;180;Fam-Susuki;1
30422;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;18;47;a4efa3c5;380;Nizoro;RandomPlayer;270;Fam-Matsu;0
30423;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;4;a4efa3c5;130;;RandomPlayer;480;Oozan,Fam-Uma;1
30424;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;6;a4efa3c5;260;Aotan;Greedy;240;Fam-Kiri;0
30425;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;8;a4efa3c5;140;;ExpectiMinimaxPlayer;140;;0
30426;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;10;a4efa3c5;120;;ShikoGreedyPlayer;420;Matsu-Kiri-Bozu;0
30427;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;12;a4efa3c5;270;Fam-Uma,Fam-Momiji;NanatanGreedyPlayer;270;Fam-Sakura;1
30428;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;19;14;a4efa3c5;260;Fam-Uma;ShikoNanatanGreedyPlayer;110;;1
30429;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;29;8;2020;23;46;a4efa3c5;220;;RandomPlayer;220;Fam-Kiri;0
30430;28 (9);eng;U304AC (U304AC);2.15.0;29;8;2020;21;54;ZLZPC669YLTG6DLN;130;;ShikoNanatanGreedyPlayer;210;;0
30431;28 (9);eng;U304AC (U304AC);2.15.0;29;8;2020;21;56;ZLZPC669YLTG6DLN;320;Tsukimi I-Pai,Fam-Susuki;ShikoNanatanGreedyPlayer;240;;0
30432;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;0;16;5200f387b8f5845f;310;;RandomPlayer;180;Fam-Matsu;0
30433;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;0;19;5200f387b8f5845f;300;Fam-Matsu,Fam-Fuji;RandomPlayer;250;Fam-Uma,Fam-Sakura;1
30434;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;0;21;5200f387b8f5845f;250;;RandomPlayer;120;;0
30435;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;0;23;5200f387b8f5845f;220;Fam-Momiji;RandomPlayer;230;Fam-Uma;0
30436;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;19;50;6ec6d87d;310;Fam-Uma,Fam-Kiri;RandomPlayer;340;Acata,Fam-Susuki,Fam-Momiji;1
30437;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;2;51;5200f387b8f5845f;290;Hanami I-Pai;RandomPlayer;180;Fam-Momiji;1
30438;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;30;8;2020;2;53;5200f387b8f5845f;120;;RandomPlayer;230;Fam-Fuji;0
